n_gram	count
('b1, (a4, P5, M7)', '1, (m3, P5, m7)')	1
('b1, (m3, M6)', '#7, (m3, m6)')	1
('b1, (a2, a4)', '2, (m3, m6)')	1
('b1, (a2, P4, a5, M6)', 'b1, (a2, P4, M6)')	1
('#4, (m3, m6)', '4, (M3, P5, a6)')	1
('b1, (M3, a4, a6)', '7, (P4, P5)')	1
('b1, (M3, a4, M6)', 'b1, (M3, P5, a6)')	1
('#4, (m3, m6)', '#5, (m3, d5, d7)')	1
('b1, (M3, a4, M7)', 'b2, (M3, P5, M7)')	1
('b1, (M3, a4, a6)', '#7, (M3, P5, m7)')	1
('#4, (m3, m6)', '#4, (d3, d5, m6)')	1
('#4, (m3, m6)', '#4, (d3, d5)')	1
('#4, (m3, m6)', '#3, (m3, m6)')	1
('b1, (M3, a5)', '1, (m3, P5, m7)')	1
('b1, (a2, P4, M6)', '1, (m3, m6)')	1
('b1, (M3, a5)', '3, (M3, P5)')	1
('b1, (M3, a6)', '1, (m3, P5)')	1
('b1, (M3, a6)', '4, (M3, P5, m7)')	1
('b1, (M3, a6)', '7, (P4, M6)')	1
('b1, (M3, d5, m7)', 'b2, (M3, a4, a6)')	1
('#4, (m3, d5, m7)', 'b3, (M3, P5)')	1
('#4, (m3, d5, m7)', 'b2, (M3, P5)')	1
('#4, (m3, d5, m7)', '6, (m3, P5)')	1
('b1, (m3, M6)', '4, (M3, P5, m7)')	1
('b1, (m3, M6)', '4, (m3, d5)')	1
('b2, (M2, a4, M6)', 'b1, (M3, M6)')	1
('b2, (M2, a4, M6)', '5, (m3, M6)')	1
('b2, (M2, a4, M6)', '6, (M3, P5)')	1
('b2, (M2, a4, M6)', '7, (P4, M6)')	1
('b2, (M2, a4, M6)', '7, (P4, m7)')	1
('b2, (M2, a4, M6)', '7, (m2, P4, m6)')	1
('b2, (M2, a4, M6)', '7, (m3, P4, M6)')	1
('b2, (M2, a4, M6)', '7, (m3, P5, m7)')	1
('b2, (M2, a4, M6)', 'b2, (m3, M6)')	1
('b1, (m3, M6)', '5, (M3, P5)')	1
('#4, (m3, d5, m7)', '5, (M3, m6)')	1
('b2, (M2, a4, M6)', 'b7, (m3, m6)')	1
('#4, (m3, d5, m7)', '5, (M3, M6)')	1
('b2, (M2, a4, a6)', 'b3, (M2, a4, a6)')	1
('b2, (M2, a4, a6)', 'b5, (M3, M6)')	1
('#4, (m3, d5, m7)', '4, (a2, a4, M6)')	1
('b2, (M3, M6)', '#7, (m3, d5, m6)')	1
('b2, (M2, a4, M6)', '3, (M3, M6)')	1
('#4, (m3, d5, m7)', '5, (P4, M6, m7)')	1
('b2, (M2, a4, M6)', '1, (m3, d5, M6)')	1
('b2, (M2, a4, M6)', '1, (m3, a4, M7)')	1
('b1, (m3, M6)', 'b2, (M3, P5, m7)')	1
('b1, (m3, M6)', 'b3, (M3, P5, a6)')	1
('b1, (m3, M6)', 'b4, (P4, M6)')	1
('b1, (m3, P5)', '6, (a2, a4, M6)')	1
('b1, (m3, P5)', 'b5, (m3, P5)')	1
('b1, (m3, P5, m7)', 'b5, (M2, P4, m6)')	1
('b1, (m3, a5)', 'b1, (m3, M6)')	1
('b1, (m3, d5, m7)', '#7, (m3, d5, d7)')	1
('#4, (m3, d5, m7)', '5, (m3, P5, m7)')	1
('b2, (M2, P4, M6)', '1, (m3, d5, d7)')	1
('b2, (M2, P5)', '1, (m3, m6)')	1
('b2, (M2, a4)', '2, (m2, P4)')	1
('b2, (M2, a4)', '3, (M3, M6)')	1
('b2, (M2, a4)', '6, (M3, P5)')	1
('b2, (M2, a4, M6)', '1, (M3, P5)')	1
('b1, (M3, a4, M6)', '7, (P4, m6)')	1
('#4, (m3, m6)', '#5, (m3, d5, m7)')	1
('b1, (M3, a4, M6)', '7, (M3, M6)')	1
('b1, (M2, a4, M6)', 'b3, (m3, P4, M6)')	1
('#4, (m3, m6)', '3, (M3, P5, m7)')	1
('7, (m3, m7, d5)', '7, (P4, m6)')	1
('b1, (M2, P4, M6)', '3, (P4, M6)')	1
('b1, (M2, P5, m6)', 'bb7, (M3, M6, m7)')	1
('b1, (M2, a4, M6)', '2, (m3, d5, m6)')	1
('b1, (M2, a4, M6)', '7, (M3, P5, m7)')	1
('b1, (M2, a4, M6)', 'b1, (a2, a4, M6)')	1
('#4, (m3, m6)', '3, (M2, P4, m6)')	1
('b1, (M3, M6)', '4, (m3, P5)')	1
('b1, (M2, a4, M6)', 'b7, (P4, M6)')	1
('b1, (M2, a4, M6)', 'b7, (m3, P4, M6)')	1
('b1, (M3, M6)', '#7, (m3, d5, m6)')	1
('#4, (m3, m6)', '2, (m3, d5, M6)')	1
('b1, (M3, M6)', '1, (M3, P5, m7)')	1
('b1, (M3, M6)', '1, (m3, d5, m6)')	1
('b1, (M3, M6)', '3, (P4, m6)')	1
('7, (m3, m7, P5)', '5, (M3, P5)')	1
('7, (m3, m7)', 'b7, (a4, a6)')	1
('#4, (m3, m6)', '3, (M3, a6)')	1
('7, (m3, m7)', '7, (m3, d7)')	1
('#4, (m3, m6)', '4, (M2, P4, m6)')	1
('#4, (m3, m6)', '4, (M2, P4, M6)')	1
('7, (m3, m6)', 'b7, (m3, m6)')	1
('7, (m3, m6)', 'bb3, (M3, M6)')	1
('7, (m3, m6, d7)', '7, (m3, d5, d7)')	1
('7, (m3, m7)', '#1, (m3, d5)')	1
('7, (m3, m7)', '1, (M2, P5, M7)')	1
('7, (m3, m7)', '3, (M3, P5)')	1
('#4, (m3, m6)', '3, (m3, m6)')	1
('7, (m3, m7)', '3, (m3, P5, m7)')	1
('7, (m3, m7)', '3, (m3, m6)')	1
('7, (m3, m7)', '5, (M3, P5)')	1
('7, (m3, m7)', '5, (m3, d5)')	1
('7, (m3, m7)', '6, (m3, P5, m7)')	1
('7, (m3, m7)', '7, (m3, d5, m6)')	1
('b1, (M3, M6)', '3, (m3, m6)')	1
('b1, (M3, M6)', '4, (m3, a4, M6)')	1
('#4, (m3, m6)', '#6, (M3, P5)')	1
('b1, (M3, P5, m7)', '3, (M3, P5, m7)')	1
('b1, (M3, P5, M6)', '4, (m3, M6)')	1
('b1, (M3, P5, M7)', '4, (P4, M6)')	1
('b1, (M3, P5, M7)', '6, (m3, d5, m7)')	1
('b1, (M3, P5, M7)', 'b2, (M3, P5)')	1
('b1, (M3, P5, M7)', 'b5, (M3, P5)')	1
('b1, (M3, P5, a6)', '#6, (m3, d5, d7)')	1
('b1, (M3, P5, a6)', '7, (P4, M6)')	1
('#4, (m3, m6)', '#7, (m3, m6)')	1
('b1, (M3, M6)', '5, (M3, M6)')	1
('b1, (M3, P5, m7)', '6, (M3, P5, m7)')	1
('b1, (M3, P5, m7)', '7, (M3, P5, m7)')	1
('b1, (M3, P5, m7)', 'b1, (M3, a4, a6)')	1
('#4, (m3, m6)', '#7, (m3, d5, m6)')	1
('#4, (m3, m6)', '#6, (m3, P4, m6)')	1
('#4, (m3, m6)', '#6, (P4, M6)')	1
('b1, (M3, a4, M6)', '1, (m3, P5)')	1
('b1, (M3, P5, M6)', '2, (m3, d5)')	1
('b1, (M3, P5, M6)', '#7, (m3, m6)')	1
('#4, (m3, m6)', '1, (M2, P4, M6)')	1
('b1, (M3, P5)', '7, (P4, M6)')	1
('#4, (m3, m6)', '2, (m3, P5)')	1
('b1, (M3, M6)', '5, (m3, m6)')	1
('b1, (M3, M6)', '5, (m3, m7)')	1
('#4, (m3, m6)', '2, (P4, m6)')	1
('b1, (M3, M6)', '7, (M3, P5)')	1
('#4, (m3, m6)', '2, (P4, P5)')	1
('b1, (M3, M6)', '7, (m3, d5)')	1
('b1, (M3, M6)', 'b5, (P4, M6)')	1
('b1, (M3, M6)', 'b7, (M3, P5)')	1
('b1, (M3, M7)', '4, (m3, M6)')	1
('b1, (M3, M7)', '7, (a4, M6)')	1
('b1, (M3, P4, M6)', '#4, (m3, P5, m6)')	1
('b1, (M3, P5)', '2, (M3, P5, m7)')	1
('#4, (m3, m6)', '1, (m3, M6)')	1
('b1, (M3, P5)', '5, (M3, P5, m7)')	1
('b2, (M3, M6)', '1, (M2, P4, P5)')	1
('b2, (M3, M6)', '1, (M3, M6)')	1
('#4, (m3, d5, m7)', '4, (M3, P5, M7)')	1
('#4, (m3, d5, m6)', '#6, (m3, M6)')	1
('#4, (m3, d5, m6)', '1, (m3, P5, m7)')	1
('#4, (m3, d5, m6)', '1, (m3, M6)')	1
('#4, (m3, d5, m6)', '#7, (m3, d5, m6)')	1
('b2, (M3, P5)', '5, (P4, M6)')	1
('#4, (m3, d5, m6)', '#7, (m2, P4, m6)')	1
('#4, (m3, d5, m6)', '#6, (m3, d5, M6)')	1
('b2, (M3, P5)', '5, (m3, P5, m7)')	1
('b2, (M3, P5)', '5, (m3, d5, m6)')	1
('#4, (m3, d5, d7)', 'b4, (m3, a4, M6)')	1
('#4, (m3, d5, m6)', '#6, (P4, M6)')	1
('#4, (m3, d5, m6)', '#5, (m3, d5, m6)')	1
('#4, (m3, d5, m6)', '#5, (m3, d5, d7)')	1
('#4, (m3, d5, m6)', '#4, (m3, m6)')	1
('#4, (m3, d5, m6)', '#4, (d3, d5, m6)')	1
('b2, (M3, P5)', '6, (P4, P5)')	1
('b2, (M3, P5)', '6, (m3, P5, m7)')	1
('#4, (m3, d5, m6)', '1, (m3, a4, M6)')	1
('b2, (M3, P5)', '4, (m3, M7)')	1
('#4, (m3, d5, m6)', '2, (M3, m6, m7)')	1
('b2, (M3, P5)', '4, (M3, P5)')	1
('b2, (M3, P5)', '2, (M3, P4, M6)')	1
('b2, (M3, P5)', '2, (M3, a5)')	1
('#4, (m3, d5, m6)', '4, (M2, M3, M6)')	1
('b2, (M3, P5)', '2, (m3, P4, M6)')	1
('b2, (M3, P5)', '2, (m3, d5)')	1
('b2, (M3, P5)', '2, (m3, d5, d7)')	1
('#4, (m3, d5, m6)', '3, (m3, d5, m6)')	1
('#4, (m3, d5, m6)', '2, (m3, P5, M6)')	1
('b2, (M3, P5)', '3, (M3, P5)')	1
('b2, (M3, P5)', '3, (M3, m7)')	1
('#4, (m3, d5, m6)', '2, (m3, P5)')	1
('b2, (M3, P5)', '3, (a2, a4, M6)')	1
('b2, (M3, P5)', '3, (m3, M6)')	1
('#4, (m3, d5, m6)', '2, (m3, P4, M6)')	1
('b2, (M3, P5)', '3, (m3, d5, m7)')	1
('#4, (m3, d5, d7)', 'b6, (M3, a6)')	1
('b2, (M3, P5)', '7, (d3, d5, d7)')	1
('b2, (M3, P5)', '1, (m3, P5, m7)')	1
('b2, (M3, P5)', 'b5, (M2, a4, M6)')	1
('b2, (M3, P5)', 'b2, (a2, P5)')	1
('#4, (m3, d5, d7)', '6, (M3, m6)')	1
('b2, (M3, P5)', 'b3, (M3, P5, m7)')	1
('b2, (M3, P5)', 'b3, (P4, M6)')	1
('b2, (M3, P5)', 'b3, (P4, P5)')	1
('b2, (M3, P5)', 'b3, (a2, a4)')	1
('b2, (M3, P5)', 'b3, (m3, d5, m7)')	1
('#4, (m3, d5, d7)', '6, (M3, a4, a6)')	1
('b2, (M3, P5)', '7, (d3, m6)')	1
('b2, (M3, P5)', 'b5, (M3, P5)')	1
('b2, (M3, P5)', 'b6, (M3, M6, m7)')	1
('b2, (M3, P5)', 'b6, (M3, P5, m7)')	1
('b2, (M3, P5)', 'b6, (P4, P5)')	1
('b2, (M3, P5)', 'b6, (a2, a4, M6)')	1
('#4, (m3, d5, d7)', '6, (M2, a4, M6)')	1
('b2, (M3, P5)', 'b7, (a4, M6)')	1
('b2, (M3, P5)', 'b2, (P4, m6)')	1
('b2, (M3, P5)', 'b2, (P4, M6)')	1
('#4, (m3, d5, d7)', '6, (a2, a4, M6)')	1
('#4, (m3, d5, d7)', '6, (m3, P4)')	1
('#4, (m3, d5, d7)', 'b3, (M3, M6)')	1
('#4, (m3, d5, d7)', 'b2, (a2, a4, M6)')	1
('b2, (M3, P5)', '7, (m3, P5, M6)')	1
('b2, (M3, P5)', '7, (m3, P5, m7)')	1
('#4, (m3, d5, d7)', 'b1, (a2, a4, M6)')	1
('b2, (M3, P5)', '7, (m3, d5, d7)')	1
('b2, (M3, P5)', 'b1, (M2, a4, M6)')	1
('b2, (M3, P5)', 'b1, (m3, P5, m7)')	1
('#4, (m3, d5, d7)', '7, (m3, d5)')	1
('#4, (m3, d5, d7)', '7, (m3, M6)')	1
('b2, (M3, P5)', 'b2, (M3, P5, M7)')	1
('#4, (m3, d5, d7)', '7, (M3, M6)')	1
('b2, (M3, P5)', 'b2, (M3, a4)')	1
('#4, (m3, d5, d7)', '6, (m3, d5)')	1
('b2, (M3, P5)', 'b2, (M3, a4, a6)')	1
('#4, (m3, d5, m6)', '4, (M3, M6)')	1
('#4, (m3, d5, m6)', '4, (M3, P5, a6)')	1
('b2, (M3, M6)', '1, (M3, P5, M7)')	1
('b2, (M3, M6)', '5, (m3, d5, M6)')	1
('b2, (M3, M6)', '3, (P4, M6)')	1
('b2, (M3, M6)', '3, (m3, M6)')	1
('#4, (m3, d5, m6)', 'b6, (a2, a4, M6)')	1
('b2, (M3, M6)', '4, (M3, P5, m7)')	1
('#4, (m3, d5, m6)', 'b6, (M3, a4, M6)')	1
('#4, (m3, d5, m6)', 'b6, (M3, P5)')	1
('#4, (m3, d5, m6)', 'b5, (P4, P5, m7)')	1
('#4, (m3, d5, m6)', 'b3, (m3, P5, M7)')	1
('b2, (M3, M6)', 'b2, (M2, a4)')	1
('#4, (m3, d5, m6)', '7, (m3, d5)')	1
('#4, (m3, d5, m6)', '7, (m3, P5)')	1
('#4, (m3, d5, m6)', '7, (M3, a5)')	1
('#4, (m3, d5, m6)', '6, (m3, d5, M6)')	1
('#4, (m3, d5, m6)', '6, (m3, P4, m6)')	1
('#4, (m3, d5, m6)', '6, (m3, M6)')	1
('b2, (M3, M6)', '7, (m3, P5, M6)')	1
('#4, (m3, d5, m6)', 'b7, (M3, M6)')	1
('#4, (m3, d5, m7)', '#2, (m3, d5, m6)')	1
('#4, (m3, d5, m7)', '#3, (M2, P4, m6)')	1
('#4, (m3, d5, m7)', '#5, (M2, P4, m6)')	1
('#4, (m3, d5, m7)', '4, (M3, P5, M6)')	1
('#4, (m3, d5, m7)', '3, (m3, P5, m7)')	1
('b2, (M3, M6)', '1, (P4, P5)')	1
('#4, (m3, d5, m7)', '2, (M3, P5, m7)')	1
('#4, (m3, d5, m7)', '2, (M3, P5)')	1
('#4, (m3, d5, m7)', '1, (m3, a4, M6)')	1
('#4, (m3, d5, m7)', '1, (M3, M6)')	1
('b2, (M3, M6)', '1, (m3, m6)')	1
('b2, (M3, M6)', '2, (M3, P5, m7)')	1
('b2, (M3, M6)', '2, (M3, m6, m7)')	1
('b2, (M3, M6)', '2, (d3, d5, m7)')	1
('#4, (m3, d5, m7)', '#5, (m3, d5, m6)')	1
('b2, (M3, M6)', '2, (m3, P5)')	1
('b2, (M3, M6)', '2, (m3, d5)')	1
('#4, (m3, d5, m7)', '#5, (m3, d5, d7)')	1
('b2, (M3, M6)', '7, (m3, P5, m7)')	1
('b2, (M3, M6)', 'b2, (M2, a4, M6)')	1
('b2, (M3, P5)', '1, (m3, P4, M6)')	1
('#4, (m3, d5, m6)', '5, (P4, M6, m7)')	1
('b2, (M3, P5)', '#3, (m3, m6)')	1
('b2, (M3, P5)', '#4, (M3, P5, m7)')	1
('#4, (m3, d5, m6)', '5, (P4, m6, m7)')	1
('b2, (M3, P5)', '#4, (m3, d5, m7)')	1
('b2, (M3, P5)', '#5, (dd5, d7)')	1
('b2, (M3, P5)', '#5, (m3, d5, d7)')	1
('b2, (M3, P5)', '#5, (m3, d5, m6)')	1
('b2, (M3, P5)', '#7, (m3, P5)')	1
('#4, (m3, d5, m6)', '6, (M3, P5)')	1
('#4, (m3, d5, m6)', '5, (M2, P5)')	1
('#4, (m3, d5, m6)', '5, (M2, P4, m6)')	1
('#4, (m3, d5, m6)', '5, (M2, P4, P5)')	1
('b2, (M3, P5)', '1, (M3, M6)')	1
('b2, (M3, P5)', '1, (M3, P5, m7)')	1
('b2, (M3, P5)', '1, (M3, a5)')	1
('#4, (m3, d5, m6)', '4, (m3, P5)')	1
('#4, (m3, d5, m6)', '5, (a2, P4, P5)')	1
('#4, (m3, d5, m6)', '5, (m3, M6, m7)')	1
('b2, (M3, M7)', '4, (P4, m6)')	1
('b2, (M3, M6, m7)', '1, (m3, P4, M6)')	1
('b2, (M3, M6)', 'b2, (M3, P5, M6)')	1
('b2, (M3, M6)', 'b2, (M3, P5, M7)')	1
('b2, (M3, M6)', 'b2, (M3, a4, M6)')	1
('#4, (m3, d5, m6)', '5, (m3, m6)')	1
('b2, (M3, M6)', 'b2, (a4, M6)')	1
('b2, (M3, M6)', 'b2, (m3, P4, M6)')	1
('b2, (M3, M6)', 'b3, (M3, a4, aa5)')	1
('#4, (m3, d5, m6)', '5, (m3, d5)')	1
('b2, (M3, M6)', 'b5, (M3, M6)')	1
('b2, (M3, M6)', 'b5, (M3, P5, a6)')	1
('#4, (m3, d5, m6)', '5, (m3, P5, m7)')	1
('#4, (m3, d5, m6)', '5, (m3, P4, M6)')	1
('b2, (M3, M6)', 'bb2, (a4, M6)')	1
('b2, (M3, M6, m7)', '1, (M3, P5)')	1
('b2, (M3, M6, m7)', '1, (M3, P5, m7)')	1
('#4, (m3, m6)', '4, (M2, P5, M6)')	1
('#4, (m3, m6)', '4, (M3, a4, M6)')	1
('#3, (m3, m6)', '6, (M3, a5, m7)')	1
('#5, (m3, d5, m6)', '6, (m3, d5, M6)')	1
('7, (m3, d5, m6)', '6, (P4, M6)')	1
('7, (m3, d5, m6)', '6, (P4, P5)')	1
('7, (m3, d5, m6)', '6, (P4, m6, m7)')	1
('#5, (m3, d5, m6)', 'b7, (M2, a4, M6)')	1
('#5, (m3, d5, m6)', 'b5, (m3, a4, M6)')	1
('#5, (m3, d5, m6)', 'b2, (a4, M6)')	1
('#5, (m3, d5, m6)', '7, (m3, P4, M6)')	1
('#5, (m3, d5, m6)', '6, (m3, P5, m7)')	1
('7, (m3, d5, m6)', '5, (m3, d5, m7)')	1
('#5, (m3, d5, m6)', '6, (m3, M6)')	1
('7, (m3, d5, m6)', '6, (m3, m7)')	1
('7, (m3, d5, m6)', '7, (M3, M6)')	1
('#5, (m3, d5, m6)', '6, (P4, P5, m7)')	1
('#5, (m3, d5, m6)', '6, (M3, P5, m7)')	1
('7, (m3, d5, m6)', '7, (m2, P4, m6)')	1
('#5, (m3, d5, m6)', '6, (M2, P4, P5)')	1
('7, (m3, d5, m6)', '6, (M2, M3)')	1
('7, (m3, d5, m6)', '5, (m3, d5, M6)')	1
('#4, (m3, m6)', '4, (M3, a4, a6)')	1
('#5, (m3, d5, m7)', 'b7, (M3, P5, M7)')	1
('#5, (m3, m6)', '#1, (m3, m6)')	1
('#5, (m3, d7)', '6, (m3, m6)')	1
('7, (m3, d5, m6)', '4, (M3, P5, M7)')	1
('#5, (m3, d7)', '#5, (m3, m6)')	1
('#5, (m3, d6)', '#5, (m3, a4, d7)')	1
('7, (m3, d5, m6)', '4, (m3, a4, M6)')	1
('7, (m3, d5, m6)', '4, (m3, m6)')	1
('#5, (m3, d5, m7)', 'b6, (M3, P5, M7)')	1
('7, (m3, d5, m6)', '5, (m3, P4, M6)')	1
('#5, (m3, d5, m7)', '6, (m3, P5)')	1
('#5, (m3, d5, m7)', '6, (m3, P4, M6)')	1
('7, (m3, d5, m6)', '5, (M3, a5, m7)')	1
('7, (m3, d5, m6)', '5, (M3, m6)')	1
('#5, (m3, d5, m7)', '4, (M3, P5)')	1
('7, (m3, d5, m6)', '5, (P4, P5)')	1
('#5, (m3, d5, m7)', '3, (M3, P5)')	1
('7, (m3, d5, m6)', '7, (m3, d4, d6)')	1
('#5, (m3, d5, m6)', '5, (M3, P5)')	1
('#5, (m3, d5, m6)', '5, (M2, a4, M6)')	1
('#5, (m3, d5, d7)', '6, (P4, m6, m7)')	1
('7, (m3, d5, m7)', '1, (M3, a5)')	1
('#5, (m3, d5, d7)', '6, (m3, d5, M6)')	1
('#5, (m3, d5, d7)', '6, (m3, a4)')	1
('7, (m3, d5, m7)', '1, (P4, m6)')	1
('7, (m3, d5, m7)', '1, (d3, d5, m6)')	1
('7, (m3, d5, m7)', '1, (m3, P5, m6)')	1
('7, (m3, d5, m7)', '1, (m3, m6)')	1
('#5, (m3, d5, d7)', '6, (P4, d5, M6)')	1
('#5, (m3, d5, m6)', '5, (M2, P4, M6)')	1
('#5, (m3, d5, d7)', '6, (P4, M6)')	1
('#5, (m3, d5, d7)', '6, (M3, m6)')	1
('7, (m3, d5, m7)', '2, (m3, m7)')	1
('#5, (m3, d5, d7)', '6, (M3, M6, m7)')	1
('#5, (m3, d5, d7)', '6, (M2, P4, m6)')	1
('7, (m3, d5, m7)', '3, (P4, P5)')	1
('#5, (m3, d5, d7)', '5, (m3, m7)')	1
('#5, (m3, d5, d7)', '7, (P4, d5, d7)')	1
('#5, (m3, d5, m6)', '#1, (m3, m6)')	1
('7, (m3, d5, m7)', '1, (M2, P4, M6)')	1
('7, (m3, d5, m7)', '#7, (m3, d5, m6)')	1
('#5, (m3, d5, m6)', '4, (M3, P5, M7)')	1
('#5, (m3, d5, m6)', '3, (m3, P5, d7)')	1
('7, (m3, d5, m6)', 'b5, (M3, P5)')	1
('#5, (m3, d5, m6)', '3, (P4, m6)')	1
('#5, (m3, d5, m6)', '3, (M3, m6, m7)')	1
('#5, (m3, d5, m6)', '3, (M3, m6)')	1
('7, (m3, d5, m6)', 'b7, (M3, P5, M6)')	1
('#5, (m3, d5, m6)', '2, (M2, a4, M6)')	1
('7, (m3, d5, m6)', 'b7, (m3, P5, M6)')	1
('#5, (m3, d5, m6)', '1, (m3, m6)')	1
('7, (m3, d5, m7)', '#1, (d4, d5)')	1
('#5, (m3, d5, m6)', '#5, (m3, d5, M6)')	1
('7, (m3, d5, m7)', '#4, (m3, d5, m7)')	1
('7, (m3, d5, m7)', '#5, (m3, d5)')	1
('#5, (m3, d5, m6)', '#5, (m3, d5)')	1
('#5, (m3, m6)', '#3, (P4, m6)')	1
('7, (m3, d5, m6)', '4, (M2, P5, M6)')	1
('7, (m3, d5, m6)', '4, (M2, P5)')	1
('7, (m3, d5, d7)', '7, (P4, d5, d7)')	1
('#6, (M2, P4, m6)', '#6, (m3, d5, M6)')	1
('#5, (m3, m6)', 'b7, (m3, a4, M6)')	1
('7, (m3, d5, d7)', '5, (m3, M6)')	1
('#5, (m3, m6)', 'b6, (M3, P5, a6)')	1
('7, (m3, d5, d7)', '5, (m3, d5, d7)')	1
('7, (m3, d5, d7)', '6, (P4, m6)')	1
('7, (m3, d5, d7)', '6, (m3, d5, M6)')	1
('7, (m3, d5, d7)', '7, (m3, P5)')	1
('7, (m3, d5, d7)', 'b6, (a4, M6)')	1
('7, (m3, d5, d7)', '7, (m3, a4, d7)')	1
('7, (m3, d5, d7)', '7, (m3, d5)')	1
('#5, (m3, m6)', 'b6, (M3, P5)')	1
('#5, (m3, m6)', 'b4, (a2, a4, M6)')	1
('#5, (m3, m6)', 'b3, (P4, M6)')	1
('7, (m3, d5, d7)', '7, (m3, m6, d7)')	1
('7, (m3, d5, d7)', 'b3, (M2, P4, a5)')	1
('#6, (M2, P4, m6)', '#7, (m3, d5, m7)')	1
('#6, (M2, P4, m6)', '2, (m3, P5, M6)')	1
('7, (m3, d5, d7)', '4, (m3, P5)')	1
('#6, (M2, P4, m6)', '5, (m3, P4, M6)')	1
('7, (m3, d5, d7)', '1, (M3, m6)')	1
('#6, (M3, P5)', '#3, (m3, m6)')	1
('#6, (M3, P5)', '#3, (P4, M6)')	1
('#6, (M3, P5)', '#3, (M3, P5, m7)')	1
('#6, (M3, P5)', '#1, (m3, m6)')	1
('7, (m3, d5, d7)', '1, (m3, a4, M6)')	1
('#6, (M3, P5)', '#1, (m3, P5, m6)')	1
('#6, (M3, P4, m6)', '6, (M3, P4, m6)')	1
('#6, (M2, a4, M6)', '6, (a2, P5, m7)')	1
('#6, (M2, a4, M6)', '5, (M3, M6)')	1
('7, (m3, d5, d7)', '3, (M2, m6)')	1
('7, (m3, d5, d7)', '3, (M3, P5, m7)')	1
('7, (m3, d5, d7)', '3, (m3, d5, M6)')	1
('#6, (M2, P4, m6)', 'b2, (P4, M6)')	1
('7, (m3, d5, d7)', '4, (a4, M6)')	1
('#5, (m3, m6)', 'b1, (m3, m6)')	1
('7, (m3, d5, d7)', 'b7, (M3, M6)')	1
('7, (m3, d5, m6)', '3, (m3, P5, m7)')	1
('7, (m3, d5, m6)', '2, (M3, P5, m7)')	1
('#5, (m3, m6)', '4, (M3, M6)')	1
('#5, (m3, m6)', '3, (m3, d5, M6)')	1
('#5, (m3, m6)', '3, (m3, P5)')	1
('7, (m3, d5, m6)', '1, (m3, a4, M6)')	1
('7, (m3, d5, m6)', '1, (m3, m6)')	1
('7, (m3, d5, m6)', '2, (M2, P4)')	1
('#5, (m3, m6)', '2, (m3, P5)')	1
('#5, (m3, m6)', '2, (m3, M6)')	1
('#5, (m3, m6)', 'b1, (M3, M6)')	1
('7, (m3, d5, m6)', '2, (m3, P4)')	1
('#5, (m3, m6)', '#6, (m3, m6)')	1
('7, (m3, d5, m6)', '2, (m3, d5, M6)')	1
('7, (m3, d5, m6)', '2, (m3, m7)')	1
('7, (m3, d5, m6)', '2, (m3, m7, P5)')	1
('7, (m3, d5, m6)', '3, (M3, P5, m7)')	1
('#5, (m3, m6)', '#4, (m3, d5, m7)')	1
('#5, (m3, m6)', '4, (M3, P5)')	1
('#5, (m3, m6)', '4, (M3, P5, m7)')	1
('#5, (m3, m6)', '4, (m3, M6)')	1
('#5, (m3, m6)', '4, (m3, P5)')	1
('#5, (m3, m6)', '7, (P4, P5, m7)')	1
('7, (m3, d5, m6)', '#1, (m3, d4, d5, m7)')	1
('#5, (m3, m6)', '7, (M3, P5, m7)')	1
('#5, (m3, m6)', '7, (M3, P5)')	1
('7, (m3, d5, m6)', '#4, (P4, m6)')	1
('7, (m3, d5, m6)', '#4, (m3, d5, m7)')	1
('#5, (m3, m6)', '6, (m3, M6)')	1
('#5, (m3, m6)', '6, (P4, P5)')	1
('7, (m3, d5, m6)', '#5, (m3, m6)')	1
('#5, (m3, m6)', '6, (P4, M6)')	1
('#5, (m3, m6)', '6, (M3, P5, m7)')	1
('#5, (m3, m6)', '6, (M2, P5)')	1
('#5, (m3, m6)', '5, (P4, M6)')	1
('#5, (m3, m6)', '5, (M2, a4, M6)')	1
('7, (m3, d5, m6)', '1, (M3, a4)')	1
('#5, (m3, d5, d7)', '5, (m3, P5, m7)')	1
('#5, (m3, d5, d7)', '5, (P4, M6)')	1
('#5, (m3, d5, d7)', '5, (M3, a4, M6)')	1
('7, (m3, m6)', '5, (P4, P5, m7)')	1
('7, (m3, m6)', '5, (M3, P4, M6)')	1
('#5, (P4, M6)', '1, (P4, d6)')	1
('7, (m3, m6)', '5, (M3, P5, M6)')	1
('7, (m3, m6)', '5, (M3, a4, M6)')	1
('#5, (M3, m6)', '6, (M3, P5, m7)')	1
('#5, (M3, m6)', '4, (M3, P5)')	1
('#5, (M3, m6)', '2, (m3, P5, M6)')	1
('7, (m3, m6)', '5, (m3, M6)')	1
('#5, (M3, P5)', '5, (P4, M6)')	1
('7, (m3, m6)', '5, (m3, P4, M6)')	1
('7, (m3, m6)', '5, (m3, d5, m7)')	1
('#5, (M3, a5)', '5, (m3, a4, M6)')	1
('#5, (M3, P5, m7)', '5, (P4, m6)')	1
('7, (m3, m6)', '6, (M3, M6)')	1
('#5, (M3, P5, m7)', '#1, (M3, P5)')	1
('7, (m3, m6)', '6, (M3, a4, a6)')	1
('#5, (P4, P5, m7)', '2, (M3, a4, m7)')	1
